               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.033425,            0.010505,            0.024325,             0.44093,             0.47348,             0.44147,             0.26361,            0.026178,           0.0049607,            0.022022,           0.0087561,           0.0087561,           0.0087561
                  99,            0.033376,            0.010598,            0.024104,             0.44178,             0.47306,             0.44334,             0.26471,            0.026133,           0.0049597,            0.021975,           0.0087316,           0.0087316,           0.0087316
                 100,            0.033208,            0.010525,            0.024309,             0.44969,             0.47115,             0.44379,             0.26532,            0.026121,           0.0049595,            0.021934,           0.0087069,           0.0087069,           0.0087069
                 101,            0.033293,            0.010624,            0.023653,             0.46395,             0.47081,             0.44476,             0.26612,            0.026099,           0.0049597,            0.021895,            0.008682,            0.008682,            0.008682
                 102,            0.033139,            0.010639,            0.024044,              0.4532,             0.47211,             0.44573,              0.2666,            0.026082,           0.0049585,            0.021865,           0.0086569,           0.0086569,           0.0086569
                 103,            0.033161,            0.010517,            0.023164,             0.46497,              0.4698,             0.44627,             0.26707,            0.026084,           0.0049574,            0.021848,           0.0086316,           0.0086316,           0.0086316
                 104,            0.032616,            0.010478,            0.023124,             0.46292,             0.47146,             0.44757,             0.26818,            0.026071,           0.0049567,            0.021848,           0.0086061,           0.0086061,           0.0086061
                 105,            0.033316,            0.010543,            0.023787,             0.46075,             0.47446,             0.44781,             0.26842,            0.026046,           0.0049563,            0.021839,           0.0085805,           0.0085805,           0.0085805
                 106,            0.033013,            0.010476,            0.023628,             0.44776,             0.48032,             0.44685,             0.26849,            0.026034,           0.0049548,            0.021804,           0.0085546,           0.0085546,           0.0085546
                 107,            0.033191,            0.010485,            0.023739,             0.45065,             0.47844,              0.4485,             0.26952,            0.026027,           0.0049556,            0.021802,           0.0085286,           0.0085286,           0.0085286
                 108,            0.032959,            0.010497,            0.023743,             0.45292,              0.4771,             0.44919,             0.26994,            0.026023,           0.0049557,            0.021786,           0.0085023,           0.0085023,           0.0085023
                 109,            0.032739,            0.010392,             0.02355,             0.46367,             0.47621,             0.44853,             0.26955,            0.026003,           0.0049544,            0.021772,           0.0084759,           0.0084759,           0.0084759
                 110,            0.033171,            0.010507,            0.023217,             0.46619,             0.47618,             0.44923,             0.27011,            0.025999,           0.0049537,            0.021752,           0.0084493,           0.0084493,           0.0084493
                 111,            0.033106,            0.010457,            0.023385,             0.46736,               0.475,             0.44957,              0.2708,            0.025985,           0.0049544,            0.021734,           0.0084225,           0.0084225,           0.0084225
                 112,            0.032692,            0.010418,            0.023778,              0.4696,             0.47404,             0.45005,             0.27095,             0.02598,            0.004953,            0.021724,           0.0083956,           0.0083956,           0.0083956
                 113,            0.032932,            0.010413,            0.023144,             0.46948,               0.477,             0.45094,             0.27148,            0.025965,           0.0049522,             0.02172,           0.0083684,           0.0083684,           0.0083684
                 114,            0.033191,            0.010469,            0.023741,             0.47013,             0.47707,             0.45173,             0.27185,            0.025961,           0.0049523,            0.021711,           0.0083411,           0.0083411,           0.0083411
                 115,            0.032895,            0.010427,            0.023896,             0.46857,             0.47767,              0.4524,             0.27264,            0.025956,            0.004952,            0.021697,           0.0083136,           0.0083136,           0.0083136
                 116,            0.033171,            0.010463,            0.023643,             0.46923,             0.47797,             0.45327,             0.27323,            0.025959,           0.0049527,            0.021694,           0.0082859,           0.0082859,           0.0082859
                 117,            0.032845,            0.010346,            0.022912,             0.46931,             0.48033,             0.45357,             0.27319,            0.025951,           0.0049527,            0.021681,           0.0082581,           0.0082581,           0.0082581
                 118,            0.032872,             0.01039,             0.02267,             0.46945,             0.48063,              0.4542,             0.27357,            0.025943,           0.0049525,            0.021682,           0.0082301,           0.0082301,           0.0082301
                 119,            0.032645,            0.010386,            0.023001,              0.4693,             0.48022,             0.45431,             0.27416,            0.025943,           0.0049533,            0.021675,           0.0082019,           0.0082019,           0.0082019
                 120,            0.032607,            0.010473,            0.022542,             0.46871,              0.4812,             0.45482,             0.27498,            0.025945,           0.0049528,            0.021652,           0.0081735,           0.0081735,           0.0081735
                 121,            0.032565,            0.010313,             0.02263,             0.47087,             0.48119,             0.45617,             0.27562,            0.025944,           0.0049523,            0.021647,            0.008145,            0.008145,            0.008145
                 122,            0.032669,            0.010213,            0.023021,             0.47099,             0.47984,             0.45712,             0.27564,            0.025935,           0.0049527,            0.021636,           0.0081164,           0.0081164,           0.0081164
                 123,            0.033008,            0.010384,            0.022918,             0.47074,             0.48205,             0.45818,             0.27639,            0.025932,           0.0049533,             0.02162,           0.0080875,           0.0080875,           0.0080875
                 124,            0.032765,            0.010352,            0.022287,             0.47037,             0.48216,             0.45841,             0.27676,            0.025925,            0.004954,            0.021605,           0.0080585,           0.0080585,           0.0080585
                 125,            0.032798,            0.010287,            0.022845,             0.47245,             0.48216,             0.45911,             0.27723,            0.025918,           0.0049552,            0.021589,           0.0080294,           0.0080294,           0.0080294
                 126,            0.032599,            0.010367,            0.022386,              0.4739,             0.48109,             0.45851,             0.27675,            0.025917,           0.0049559,            0.021579,           0.0080001,           0.0080001,           0.0080001
                 127,            0.032604,            0.010299,            0.022267,             0.47377,             0.48365,             0.45983,             0.27791,            0.025913,           0.0049562,            0.021563,           0.0079706,           0.0079706,           0.0079706
                 128,            0.032988,            0.010234,            0.022291,             0.47399,             0.48396,             0.46015,             0.27815,             0.02591,           0.0049569,            0.021551,            0.007941,            0.007941,            0.007941
                 129,            0.032608,            0.010407,            0.022676,             0.47329,             0.48797,              0.4603,             0.27862,            0.025905,           0.0049568,             0.02154,           0.0079112,           0.0079112,           0.0079112
                 130,            0.033049,            0.010155,            0.023022,             0.47234,              0.4911,             0.46017,              0.2786,            0.025904,           0.0049573,            0.021533,           0.0078813,           0.0078813,           0.0078813
                 131,            0.032901,            0.010374,             0.02271,             0.47038,             0.49374,             0.46028,              0.2785,              0.0259,           0.0049583,            0.021526,           0.0078512,           0.0078512,           0.0078512
                 132,            0.032718,            0.010231,            0.022213,             0.47125,             0.49386,              0.4617,             0.27937,            0.025896,           0.0049583,            0.021518,            0.007821,            0.007821,            0.007821
                 133,            0.032388,            0.010236,            0.022429,             0.47361,             0.49279,             0.46196,             0.27942,            0.025893,           0.0049581,            0.021511,           0.0077907,           0.0077907,           0.0077907
                 134,             0.03253,            0.010251,            0.021989,             0.47374,             0.49014,             0.46165,             0.27944,             0.02588,           0.0049582,            0.021503,           0.0077602,           0.0077602,           0.0077602
                 135,            0.032716,            0.010266,            0.022374,               0.476,             0.48907,              0.4622,             0.27956,            0.025873,           0.0049581,            0.021493,           0.0077296,           0.0077296,           0.0077296
                 136,            0.032881,            0.010314,            0.022246,             0.47806,             0.48723,             0.46233,             0.27999,            0.025865,           0.0049588,            0.021493,           0.0076988,           0.0076988,           0.0076988
                 137,            0.032533,            0.010182,            0.022207,             0.47906,             0.48484,             0.46286,             0.28022,             0.02586,           0.0049587,            0.021484,           0.0076679,           0.0076679,           0.0076679
                 138,            0.032818,            0.010135,            0.022318,             0.47988,             0.48437,             0.46308,             0.28051,            0.025855,           0.0049597,            0.021479,           0.0076369,           0.0076369,           0.0076369
                 139,             0.03246,            0.010197,            0.022065,             0.47905,              0.4855,             0.46315,             0.28079,            0.025855,           0.0049601,            0.021474,           0.0076057,           0.0076057,           0.0076057
                 140,            0.032654,            0.010201,            0.021775,             0.47933,             0.48286,             0.46555,             0.28234,             0.02586,           0.0049601,            0.021468,           0.0075744,           0.0075744,           0.0075744
                 141,            0.032197,             0.01021,            0.021648,             0.47883,             0.48359,             0.46338,             0.28176,            0.025862,           0.0049615,            0.021459,            0.007543,            0.007543,            0.007543
                 142,             0.03237,            0.010119,            0.021853,             0.47889,             0.48488,             0.46364,             0.28186,            0.025862,           0.0049628,             0.02145,           0.0075114,           0.0075114,           0.0075114
                 143,            0.032522,            0.010113,            0.021844,             0.46583,             0.48926,              0.4643,              0.2822,            0.025863,           0.0049638,             0.02144,           0.0074797,           0.0074797,           0.0074797
                 144,            0.032393,            0.010236,            0.021569,             0.46627,             0.48887,             0.46509,             0.28304,            0.025869,           0.0049645,            0.021429,           0.0074479,           0.0074479,           0.0074479
                 145,            0.032364,            0.010113,            0.021541,              0.4683,             0.48742,             0.46642,             0.28428,             0.02587,           0.0049651,             0.02142,            0.007416,            0.007416,            0.007416
                 146,            0.032776,            0.010163,            0.021948,             0.46824,             0.48864,             0.46645,             0.28411,            0.025874,           0.0049661,            0.021416,            0.007384,            0.007384,            0.007384
                 147,            0.032273,            0.010143,             0.02157,             0.46932,             0.48852,             0.46681,             0.28488,            0.025875,           0.0049671,            0.021415,           0.0073518,           0.0073518,           0.0073518
                 148,            0.032532,            0.010111,            0.021761,             0.46601,             0.49042,             0.46837,             0.28494,            0.025874,           0.0049684,            0.021404,           0.0073195,           0.0073195,           0.0073195
                 149,            0.032667,            0.010179,            0.021787,             0.46623,             0.48977,             0.46883,             0.28558,            0.025875,           0.0049687,            0.021395,           0.0072872,           0.0072872,           0.0072872
                 150,            0.032502,            0.010163,            0.021127,             0.46645,             0.48889,             0.46906,             0.28602,            0.025876,           0.0049698,            0.021389,           0.0072547,           0.0072547,           0.0072547
                 151,            0.032637,            0.010174,            0.021506,             0.46586,             0.49029,             0.46949,             0.28618,            0.025876,           0.0049706,            0.021376,           0.0072221,           0.0072221,           0.0072221
                 152,             0.03241,             0.01019,             0.02118,               0.466,             0.48904,             0.46965,             0.28625,            0.025878,           0.0049705,            0.021363,           0.0071894,           0.0071894,           0.0071894
                 153,            0.032416,            0.010095,            0.021237,             0.46666,             0.49169,             0.47023,             0.28666,             0.02588,           0.0049709,            0.021351,           0.0071566,           0.0071566,           0.0071566
                 154,            0.032192,             0.01009,            0.021241,             0.46647,             0.49345,             0.47115,             0.28736,            0.025884,           0.0049708,            0.021337,           0.0071236,           0.0071236,           0.0071236
                 155,            0.032738,           0.0099867,            0.021543,               0.472,              0.4918,             0.47239,             0.28823,            0.025884,            0.004972,             0.02133,           0.0070906,           0.0070906,           0.0070906
                 156,            0.032722,            0.010071,            0.021236,             0.47195,             0.48959,             0.47347,             0.28861,            0.025884,           0.0049733,            0.021318,           0.0070575,           0.0070575,           0.0070575
                 157,            0.032891,            0.010157,            0.021452,             0.47227,             0.48816,             0.47374,             0.28869,            0.025896,           0.0049741,            0.021303,           0.0070243,           0.0070243,           0.0070243
